,id,keywords
35,502356,"[{'id': 282, 'name': 'video game'}, {'id': 690, 'name': 'gorilla'}, {'id': 1878, 'name': 'plumber'}, {'id': 9696, 'name': 'magic mushroom'}, {'id': 11477, 'name': 'anthropomorphism'}, {'id': 41645, 'name': 'based on video game'}, {'id': 172242, 'name': 'toad'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 188294, 'name': 'damsel in distress'}, {'id': 207592, 'name': 'piano'}, {'id': 227035, 'name': 'white gloves'}, {'id': 243959, 'name': 'brother brother relationship'}, {'id': 307254, 'name': 'evil king'}]"
36,545609,"[{'id': 3070, 'name': 'mercenary'}, {'id': 4110, 'name': 'mumbai (bombay), india'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9730, 'name': 'crime boss'}, {'id': 11107, 'name': 'rescue mission'}, {'id': 11440, 'name': 'long take'}, {'id': 18712, 'name': 'based on graphic novel'}, {'id': 265216, 'name': 'dhaka (dacca), bangladesh'}]"
37,552688,"[{'id': 12367, 'name': 'female assassin'}, {'id': 187056, 'name': 'woman director'}, {'id': 266503, 'name': 'mother and daughter'}]"
38,298618,"[{'id': 1308, 'name': 'secret identity'}, {'id': 1701, 'name': 'hero'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 10761, 'name': 'superhuman'}, {'id': 33637, 'name': 'super power'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 228795, 'name': 'butterfly effect'}, {'id': 229266, 'name': 'dc extended universe (dceu)'}, {'id': 235578, 'name': 'superhuman abilities'}, {'id': 241739, 'name': 'loss of mother'}]"
39,1073140,[]
40,1094319,[]
41,884605,"[{'id': 9799, 'name': 'romantic comedy'}, {'id': 157296, 'name': 'bankruptcy'}, {'id': 176454, 'name': 'craigslist'}, {'id': 208275, 'name': 'socially awkward'}, {'id': 231544, 'name': 'uber'}, {'id': 232763, 'name': 'arrested development'}, {'id': 234042, 'name': 'late coming of age'}, {'id': 318606, 'name': 'helicopter parenting'}]"
42,697843,"[{'id': 3070, 'name': 'mercenary'}, {'id': 9663, 'name': 'sequel'}, {'id': 11107, 'name': 'rescue mission'}, {'id': 11440, 'name': 'long take'}, {'id': 18712, 'name': 'based on graphic novel'}]"
43,1098160,"[{'id': 1228, 'name': '1970s'}, {'id': 13031, 'name': 'creature'}]"
44,1018494,"[{'id': 291865, 'name': 'united states'}]"
45,870518,"[{'id': 612, 'name': 'hotel'}, {'id': 1664, 'name': 'eroticism'}, {'id': 1977, 'name': 'denver, colorado'}, {'id': 7089, 'name': 'dominatrix'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 155267, 'name': 'dominance'}, {'id': 170715, 'name': 'job promotion'}, {'id': 234041, 'name': 'one location'}, {'id': 307949, 'name': 'power dynamics'}]"
46,603692,"[{'id': 242, 'name': 'new york city'}, {'id': 779, 'name': 'martial arts'}, {'id': 2708, 'name': 'hitman'}, {'id': 9663, 'name': 'sequel'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10642, 'name': 'osaka, japan'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 181644, 'name': 'hunted'}, {'id': 206041, 'name': 'professional assassin'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 312965, 'name': 'berlin'}]"
47,455476,"[{'id': 9715, 'name': 'superhero'}, {'id': 13141, 'name': 'based on manga'}, {'id': 285442, 'name': 'live action anime'}]"
48,299536,"[{'id': 2343, 'name': 'magic'}, {'id': 2858, 'name': 'sacrifice'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9882, 'name': 'space'}, {'id': 10141, 'name': 'battlefield'}, {'id': 14900, 'name': 'genocide'}, {'id': 15252, 'name': 'magical object'}, {'id': 33637, 'name': 'super power'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 231295, 'name': 'cosmic'}]"
49,620705,"[{'id': 305, 'name': 'moon'}, {'id': 7312, 'name': 'road trip'}, {'id': 10683, 'name': 'coming of age'}, {'id': 155939, 'name': 'group of friends'}, {'id': 157265, 'name': 'moon colony'}, {'id': 244256, 'name': 'near future'}]"
50,1115939,"[{'id': 10854, 'name': 'time loop'}]"
